,Name,Date of Birth,Date of Death,Race,Gender,Religion,Title,Term Start,Term End,Party,Nominator,Court,Year
0,Michael McHugh,1935-11-01,,,male,,Justice of the High Court of Australia,,,,,Australia,
1,William Deane,1931-01-04,,,male,Catholicism,Justice of the High Court of Australia,,,,,Australia,
2,John Toohey,1930-03-04,2015-04-09,,male,,Justice of the High Court of Australia,,,,,Australia,
3,Patrick Keane,1952-10-26,,,male,,Justice of the High Court of Australia,,,,,Australia,
4,Richard O'Connor,1851-08-04,1912-11-18,,male,,Justice of the High Court of Australia,1903-01-01,1912-11-18,Protectionist Party,,Australia,1903
5,Samuel Griffith,1845-06-21,1920-08-09,,male,,Chief Justice of Australia,1903-10-05,1919-10-17,,,Australia,1903
6,Edmund Barton,1849-01-18,1920-01-07,,male,Anglicanism,Justice of the High Court of Australia,1903-10-05,1920-01-07,Protectionist Party,,Australia,1903
7,Adrian Knox,1863-11-29,1932-04-27,,male,,Chief Justice of Australia,1919-10-18,1930-03-31,,,Australia,1919
8,Isaac Isaacs,1855-08-06,1948-02-11,,male,Judaism,Chief Justice of Australia,1930-04-02,1931-01-21,,,Australia,1930
9,Frank Gavan Duffy,1852-01-01,1936-01-01,,male,,Chief Justice of Australia,1931-01-22,1935-10-01,,,Australia,1931
10,Frank Gavan Duffy,1852-02-29,1936-01-01,,male,,Chief Justice of Australia,1931-01-22,1935-10-01,,,Australia,1931
11,Frank Gavan Duffy,1852-01-01,1936-07-29,,male,,Chief Justice of Australia,1931-01-22,1935-10-01,,,Australia,1931
12,Frank Gavan Duffy,1852-02-29,1936-07-29,,male,,Chief Justice of Australia,1931-01-22,1935-10-01,,,Australia,1931
13,John Latham,1877-08-26,1964-07-25,,male,,Chief Justice of Australia,1935-10-11,1952-04-07,Nationalist Party of Australia,,Australia,1935
14,John Latham,1877-08-26,1964-07-25,,male,,Chief Justice of Australia,1935-10-11,1952-04-07,United Australia Party,,Australia,1935
15,John Latham,1877-08-26,1964-07-25,,male,,Chief Justice of Australia,1935-10-11,1952-04-07,Liberal Party,,Australia,1935
16,Frank Kitto,1903-07-30,1994-02-15,,male,,Justice of the High Court of Australia,1950-05-10,1970-08-01,,,Australia,1950
17,Owen Dixon,1886-04-28,1972-07-07,,male,,Chief Justice of Australia,1952-04-18,1964-04-13,,,Australia,1952
18,Garfield Barwick,1903-06-22,1997-07-13,,male,,Chief Justice of Australia,1964-04-27,1981-02-11,Liberal Party of Australia,,Australia,1964
19,Ninian Stephen,1923-06-15,2017-10-29,,male,,Justice of the High Court of Australia,1972-03-01,1982-05-11,,,Australia,1972
20,Ronald Wilson,1922-08-23,2005-07-15,,male,Uniting Church in Australia,Justice of the High Court of Australia,1979-05-21,1989-02-13,,,Australia,1979
21,Harry Gibbs,1917-02-07,2005-06-25,,male,,Chief Justice of Australia,1981-02-12,1987-02-05,,,Australia,1981
22,Gerard Brennan,1928-05-22,,,male,Catholicism,Justice of the High Court of Australia,1981-02-12,1998-05-21,,,Australia,1981
23,Anthony Mason,1925-04-21,,,male,,Chief Justice of Australia,1987-02-06,1995-04-20,,,Australia,1987
24,Mary Gaudron,1943-01-05,,,female,,Justice of the High Court of Australia,1987-02-06,2003-01-31,,,Australia,1987
25,Gerard Brennan,1928-05-22,,,male,Catholicism,Chief Justice of Australia,1995-04-21,1998-05-21,,,Australia,1995
26,Kenneth Hayne,1945-06-05,,,male,,Justice of the High Court of Australia,1997-09-22,2015-06-04,,,Australia,1997
27,Murray Gleeson,1938-08-30,,,male,Catholic Church,Chief Justice of Australia,1998-05-22,2008-08-29,,,Australia,1998
28,Dyson Heydon,1943-03-01,,,male,,Justice of the High Court of Australia,2003-02-01,2013-02-28,,,Australia,2003
29,Robert French,1947-03-19,,,male,,Chief Justice of Australia,2008-09-01,2017-01-29,,,Australia,2008
30,Virginia Bell,1951-03-07,,,female,,Justice of the High Court of Australia,2009-02-03,2021-02-28,,,Australia,2009
31,Michelle Gordon,1964-11-19,,,female,,Justice of the High Court of Australia,2015-06-09,,,,Australia,2015
32,Susan Kiefel,1954-01-17,,,female,,Chief Justice of Australia,2017-01-30,,,,Australia,2017
33,Jacqueline Gleeson,1966-03-06,,,female,,Justice of the High Court of Australia,2021-03-01,,,,Australia,2021
