,court,court_description,title,full_name,gender,court_abbreviation,religion,party,nominator,race,date_of_birth,date_of_death,term_start,term_end
0,Australia,High Court of Australia,Justice of the High Court of Australia,Michael McHugh,male,AUS,,,,,1935-11-01T00:00:00Z,,,
1,Australia,High Court of Australia,Justice of the High Court of Australia,William Deane,male,AUS,Catholicism,,,,1931-01-04T00:00:00Z,,,
2,Australia,High Court of Australia,Justice of the High Court of Australia,John Toohey,male,AUS,,,,,1930-03-04T00:00:00Z,2015-04-09T00:00:00Z,,
3,Australia,High Court of Australia,Justice of the High Court of Australia,Patrick Keane,male,AUS,,,,,1952-10-26T00:00:00Z,,,
4,Australia,High Court of Australia,Justice of the High Court of Australia,Frank Kitto,male,AUS,,,,,1903-07-30T00:00:00Z,1994-02-15T00:00:00Z,,
5,Australia,High Court of Australia,Justice of the High Court of Australia,Richard O'Connor,male,AUS,,Protectionist Party,,,1851-08-04T00:00:00Z,1912-11-18T00:00:00Z,1903-01-01T00:00:00Z,1912-11-18T00:00:00Z
6,Australia,High Court of Australia,Chief Justice of Australia,Samuel Griffith,male,AUS,,,,,1845-06-21T00:00:00Z,1920-08-09T00:00:00Z,1903-10-05T00:00:00Z,1919-10-17T00:00:00Z
7,Australia,High Court of Australia,Justice of the High Court of Australia,Edmund Barton,male,AUS,Anglicanism,Protectionist Party,,,1849-01-18T00:00:00Z,1920-01-07T00:00:00Z,1903-10-05T00:00:00Z,1920-01-07T00:00:00Z
8,Australia,High Court of Australia,Chief Justice of Australia,Adrian Knox,male,AUS,,,,,1863-11-29T00:00:00Z,1932-04-27T00:00:00Z,1919-10-18T00:00:00Z,1930-03-31T00:00:00Z
9,Australia,High Court of Australia,Chief Justice of Australia,Isaac Isaacs,male,AUS,Judaism,,,,1855-08-06T00:00:00Z,1948-02-11T00:00:00Z,1930-04-02T00:00:00Z,1931-01-21T00:00:00Z
10,Australia,High Court of Australia,Chief Justice of Australia,Frank Gavan Duffy,male,AUS,,,,,1852-01-01T00:00:00Z,1936-01-01T00:00:00Z,1931-01-22T00:00:00Z,1935-10-01T00:00:00Z
11,Australia,High Court of Australia,Chief Justice of Australia,Frank Gavan Duffy,male,AUS,,,,,1852-02-29T00:00:00Z,1936-01-01T00:00:00Z,1931-01-22T00:00:00Z,1935-10-01T00:00:00Z
12,Australia,High Court of Australia,Chief Justice of Australia,Frank Gavan Duffy,male,AUS,,,,,1852-01-01T00:00:00Z,1936-07-29T00:00:00Z,1931-01-22T00:00:00Z,1935-10-01T00:00:00Z
13,Australia,High Court of Australia,Chief Justice of Australia,Frank Gavan Duffy,male,AUS,,,,,1852-02-29T00:00:00Z,1936-07-29T00:00:00Z,1931-01-22T00:00:00Z,1935-10-01T00:00:00Z
14,Australia,High Court of Australia,Chief Justice of Australia,John Latham,male,AUS,,Nationalist Party of Australia,,,1877-08-26T00:00:00Z,1964-07-25T00:00:00Z,1935-10-11T00:00:00Z,1952-04-07T00:00:00Z
15,Australia,High Court of Australia,Chief Justice of Australia,John Latham,male,AUS,,United Australia Party,,,1877-08-26T00:00:00Z,1964-07-25T00:00:00Z,1935-10-11T00:00:00Z,1952-04-07T00:00:00Z
16,Australia,High Court of Australia,Chief Justice of Australia,John Latham,male,AUS,,Liberal Party,,,1877-08-26T00:00:00Z,1964-07-25T00:00:00Z,1935-10-11T00:00:00Z,1952-04-07T00:00:00Z
17,Australia,High Court of Australia,Chief Justice of Australia,Owen Dixon,male,AUS,,,,,1886-04-28T00:00:00Z,1972-07-07T00:00:00Z,1952-04-18T00:00:00Z,1964-04-13T00:00:00Z
18,Australia,High Court of Australia,Chief Justice of Australia,Garfield Barwick,male,AUS,,Liberal Party of Australia,,,1903-06-22T00:00:00Z,1997-07-13T00:00:00Z,1964-04-27T00:00:00Z,1981-02-11T00:00:00Z
19,Australia,High Court of Australia,Justice of the High Court of Australia,Ninian Stephen,male,AUS,,,,,1923-06-15T00:00:00Z,2017-10-29T00:00:00Z,1972-03-01T00:00:00Z,1982-05-11T00:00:00Z
20,Australia,High Court of Australia,Justice of the High Court of Australia,Ronald Wilson,male,AUS,Uniting Church in Australia,,,,1922-08-23T00:00:00Z,2005-07-15T00:00:00Z,1979-05-21T00:00:00Z,1989-02-13T00:00:00Z
21,Australia,High Court of Australia,Chief Justice of Australia,Harry Gibbs,male,AUS,,,,,1917-02-07T00:00:00Z,2005-06-25T00:00:00Z,1981-02-12T00:00:00Z,1987-02-05T00:00:00Z
